cell,held_out_release_seed,model,rmse
"0.10
0.05",20260713,Classical,0.14099814642037775
"0.10
0.05",20260713,Time-fractional,0.06961287886620124
"0.10
0.05",20260714,Classical,0.12899341554493465
"0.10
0.05",20260714,Time-fractional,0.1226152338855498
"0.10
0.05",20260715,Classical,0.183429487442177
"0.10
0.05",20260715,Time-fractional,0.06859058422953906
"0.10
0.10",20260713,Classical,0.11431630452473734
"0.10
0.10",20260713,Time-fractional,0.08516761177794992
"0.10
0.10",20260714,Classical,0.13182514864725567
"0.10
0.10",20260714,Time-fractional,0.06956615102682386
"0.10
0.10",20260715,Classical,0.15541674494099694
"0.10
0.10",20260715,Time-fractional,0.06944153579767225
"0.20
0.05",20260713,Classical,0.1944440109457061
"0.20
0.05",20260713,Time-fractional,0.07510834598341011
"0.20
0.05",20260714,Classical,0.1348867688421093
"0.20
0.05",20260714,Time-fractional,0.1730311652681112
"0.20
0.05",20260715,Classical,0.1675326111781303
"0.20
0.05",20260715,Time-fractional,0.1039958860637372
"0.20
0.10",20260713,Classical,0.10100145125132816
"0.20
0.10",20260713,Time-fractional,0.0811936004718091
"0.20
0.10",20260714,Classical,0.1243313217634583
"0.20
0.10",20260714,Time-fractional,0.07463490810321774
"0.20
0.10",20260715,Classical,0.1775473009583499
"0.20
0.10",20260715,Time-fractional,0.09992922621798514
