case,gas_velocity_m_s,df_over_dp,release_seed,mean_dx_dp,fpt_5dp_reached_fraction,mean_dz_dp,centered_msd_exponent,mean_sampled_contact_fraction,pressure_gradient_tail_mean_Pa_m
paper3_rr_posteq_ug010_df005_s20260713_zero_300ms_20260716,0.1,0.05,20260713,19.699444088914827,0.83,-0.58763814668202,1.8705024800674976,0.5833320763641078,1268.9903075555558
paper3_rr_posteq_ug010_df005_s20260714_zero_300ms_20260716,0.1,0.05,20260714,19.944185380229143,0.75,-0.6115979121224132,1.9152243165186087,0.623793796924159,1268.9292266666666
paper3_rr_posteq_ug010_df005_s20260715_zero_300ms_20260716,0.1,0.05,20260715,22.299610335000224,0.86,-0.5853222539627256,1.88770556949791,0.5648253009252466,1268.696273777778
paper3_rr_posteq_ug010_df010_s20260713_zero_300ms_20260716,0.1,0.1,20260713,17.349812529588554,0.77,-2.3029527288386102,1.7726274416832506,0.4759380206597801,1269.225009777778
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716,0.1,0.1,20260714,16.765578658798738,0.8,-2.50193658455294,1.7788378479674734,0.4369110296567812,1269.0242008888888
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716,0.1,0.1,20260715,18.26347661646654,0.83,-1.9820271609542712,1.7594366778774908,0.480113295568144,1269.0223057777778
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716,0.2,0.05,20260713,25.54178001923986,0.86,-0.38112351281011186,1.797935189668376,0.5549398428188617,2563.2858880000003
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716,0.2,0.05,20260714,22.111312882231083,0.73,-0.4356419790397981,1.8157422259614704,0.6241104275222695,2563.3925244444445
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716,0.2,0.05,20260715,25.296960953250792,0.82,-0.2716639068766408,1.7909362252741814,0.5795121297002872,2563.465996444445
paper3_rr_posteq_ug020_df010_s20260713_zero_300ms_20260716,0.2,0.1,20260713,22.488182137475267,0.89,-1.3184012391535718,1.83336940050408,0.4635408861361661,2563.983361777778
paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716,0.2,0.1,20260714,24.194117703369137,0.85,-1.7896257637728812,1.8018280873727064,0.45418612018920207,2563.776940444445
paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716,0.2,0.1,20260715,25.340513910516943,0.91,-1.3082042105072895,1.779554962364131,0.45345493016147265,2563.8776000000003
