condition,case,origin_start_s,lag_s,raw_msd_x_m2,centered_msd_x_m2,centered_displacement_p50_m,centered_displacement_p90_m,centered_displacement_p99_m,non_gaussian_parameter_x,mean_increment_x_m,normalized_velocity_correlation,velocity_autocorrelation,velocity_covariance_m2_s2,velocity_origin_variance_m2_s2,velocity_endpoint_variance_m2_s2,velocity_endpoint_to_origin_variance_ratio,time_origin_particle_pair_count,bed_resident_particle_count,local_centered_msd_exponent,reference_msd,msd_ratio
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,9.99999999999994e-5,6.055544565609584e-11,3.699464559946758e-11,4.269242059787224e-6,9.940023647115444e-6,1.6900566577577312e-5,0.1420009313228623,4.823255258383242e-6,0.9747015555772328,0.9747015555772328,0.00363753587547131,0.00373217765273746,0.00373171908882911,0.9998771323471126,150000,100,1.9805738296889157,3.884387798810653e-11,0.9523932088035815
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,1.9999999999999e-4,2.4095474918371356e-10,1.4673642696446532e-10,8.527215527782475e-6,1.9785343640760363e-5,3.364945685999995e-5,0.13977182608036243,9.645986510001716e-6,0.9515396597380356,0.9515396597380356,0.00355096965012946,0.00373206147728073,0.00373156785556959,0.999867734839272,149900,100,1.978402235767045,1.5415321377661216e-10,0.9518869141262619
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,2.9999999999999e-4,5.394293373127661e-10,3.2748977592998635e-10,1.2781696481769014e-5,2.9518571839114524e-5,5.0247223565808934e-5,0.13697195661778427,1.446828074792353e-5,0.930351352341114,0.930351352341114,0.00347183825752099,0.00373199937879254,0.00373149977464674,0.9998661296278236,149800,100,1.9763210636357176,3.442136740449112e-10,0.9514141959603185
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,3.9999999999999e-4,9.543700778228127e-10,5.776676989964333e-10,1.702640436484014e-5,3.91599430802078e-5,6.654607934189278e-5,0.13365698401895765,1.92903570038709e-5,0.9105637466187768,0.9105637466187768,0.00339796473878834,0.00373199602458187,0.00373143475885193,0.9998496070932988,149700,100,1.97432224546762,6.074467876094051e-10,0.9509766300186279
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,4.9999999999999e-4,1.4842608086613131e-9,8.95782769821091e-10,2.126404421474289e-5,4.870290763520471e-5,8.287531893005074e-5,0.12988257901424505,2.4112160175503912e-5,0.8922507204585575,0.8922507204585575,0.00332956985715345,0.00373199457253976,0.003731310964293,0.999816824962237,149600,100,1.9723992504116512,9.424090460637223e-10,0.9505243753363987
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,5.9999999999999e-4,2.12767069637753e-9,1.2804550987936626e-9,2.5508780026054223e-5,5.816179625915409e-5,9.906833836351816e-5,0.12567336166136325,2.893325427138487e-5,0.8753460421617847,0.8753460421617847,0.00326615081763711,0.00373146481178737,0.00373107152208755,0.999894601793222,149500,100,1.9634476414259152,1.3477434414141595e-9,0.9500733295723608
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,6.9999999999999e-4,2.8832584755477823e-9,1.730393757041854e-9,2.972522511581276e-5,6.75705409506209e-5,1.1496578151633e-4,0.12103067514764664,3.375346007514799e-5,0.8597558666738717,0.8597558666738717,0.00320761723554525,0.003730953445965,0.00373073971879431,0.9999427151333348,149400,100,1.956079717251726,1.8221865041527327e-9,0.9496249440429481
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,7.9999999999999e-4,3.749811749976004e-9,2.244418766088783e-9,3.395894794114064e-5,7.681930654453586e-5,1.3085026045358e-4,0.11594999217439672,3.857287265628466e-5,0.8453520273141232,0.8453520273141232,0.00315350111223947,0.00373044629932727,0.00373035348724892,0.9999751203821472,149300,100,1.949530197870326,2.364563365363025e-9,0.9491895201312159
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,8.9999999999999e-4,4.7262031542213846e-9,2.82143158292161e-9,3.8179791382376705e-5,8.598874494179623e-5,1.4655784142087e-4,0.11045599129223628,4.3391569479101617e-5,0.8321719327897248,0.8321719327897248,0.00310392849591981,0.0037299071830954,0.00372991782089756,1.000002852028655,149200,100,1.943512697850026,2.973772143761105e-9,0.9487719457056919
Local-fluid initial velocity,paper3_rr_posteq_ug010_df010_s20260713_localflow_300ms_20260716,0.15000000000000002,9.9999999999999e-4,5.811360682120442e-9,3.460388459638881e-9,4.242262280802483e-5,9.512284440737298e-5,1.6202340657609e-4,0.10459256279533102,4.820960593907734e-5,0.8186500727573685,0.8186500727573685,0.00305311976563172,0.00372942113130639,0.00372949169938543,1.0000189219925963,149100,100,1.937835237115368,3.6487803576237693e-9,0.9483685287903774
