gas_velocity_m_s,df_over_dp,held_out_case,held_out_release_seed,training_particle_count,training_observed_passage_count,held_out_particle_count,held_out_observed_passage_count,training_fractional_alpha,training_fractional_alpha_at_search_boundary,classical_cdf_rmse,fractional_cdf_rmse,fractional_rmse_improvement
0.1,0.05,paper3_rr_posteq_ug010_df005_s20260713_zero_300ms_20260716,20260713,200,161,100,83,0.842928213160912,False,0.14099814642037775,0.06961287886620124,0.07138526755417651
0.1,0.05,paper3_rr_posteq_ug010_df005_s20260714_zero_300ms_20260716,20260714,200,169,100,75,0.8611145618000168,False,0.12899341554493463,0.1226152338855498,0.006378181659384821
0.1,0.05,paper3_rr_posteq_ug010_df005_s20260715_zero_300ms_20260716,20260715,200,158,100,86,0.8273423868374092,False,0.183429487442177,0.06859058422953906,0.11483890321263793
0.1,0.1,paper3_rr_posteq_ug010_df010_s20260713_zero_300ms_20260716,20260713,200,163,100,77,0.8499853228708266,False,0.11431630452473734,0.08516761177794992,0.029148692746787427
0.1,0.1,paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716,20260714,200,160,100,80,0.8407582258884181,False,0.13182514864725567,0.06956615102682386,0.062258997620431814
0.1,0.1,paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716,20260715,200,157,100,83,0.8059276103040539,False,0.15541674494099694,0.06944153579767225,0.0859752091433247
0.2,0.05,paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716,20260713,200,155,100,86,0.8166283641467187,False,0.1944440109457061,0.07510834598341011,0.11933566496229599
0.2,0.05,paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716,20260714,200,168,100,73,0.870948207499553,False,0.1348867688421093,0.1730311652681112,-0.0381443964260019
0.2,0.05,paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716,20260715,200,159,100,82,0.84,False,0.1675326111781303,0.1039958860637372,0.06353672511439308
0.2,0.1,paper3_rr_posteq_ug020_df010_s20260713_zero_300ms_20260716,20260713,200,176,100,89,0.8494672653854871,False,0.10100145125132816,0.0811936004718091,0.019807850779519062
0.2,0.1,paper3_rr_posteq_ug020_df010_s20260714_zero_300ms_20260716,20260714,200,180,100,85,0.8221155745337748,False,0.1243313217634583,0.07463490810321774,0.049696413660240565
0.2,0.1,paper3_rr_posteq_ug020_df010_s20260715_zero_300ms_20260716,20260715,200,174,100,91,0.7845710033858837,False,0.1775473009583499,0.09992922621798514,0.07761807474036475
