metric,contrast,condition,count,mean,standard_deviation,standard_error,ci95_low,ci95_high,minimum,maximum,same_sign_count
all_lower_clipped_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-0.0007810347218951316,0.03386402522326891,0.019551404078498584,-0.08490393684971477,0.08334186740592452,-0.039715096495598734,0.021828658996579986,1
all_lower_clipped_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.029418888888888883,0.03979224310274738,0.022974062267030228,-0.0694305228366465,0.12826830061442426,0.005899666666666636,0.07536266666666663,3
all_lower_clipped_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-0.048263701388561786,0.01050872708079983,0.006067216408940092,-0.07436882663216851,-0.022158576144955068,-0.05801700767008666,-0.037134999999999974,3
all_lower_clipped_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-0.018063777777777772,0.023920913454161395,0.013810745822021823,-0.07748662098809284,0.0413590654325373,-0.04568399999999995,-0.004024333333333352,3
all_lower_clipped_fraction,velocity_size_interaction,difference_of_differences,3,0.030199923610784014,0.03379035245657322,0.019508869086814883,-0.05373996521895999,0.11413981244052801,-0.008548999999999973,0.05353400767008665,2
bed_resident_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,0.07333333333333336,0.032145502536643146,0.018559214542766718,-0.006520521780189803,0.15318718844685653,0.050000000000000044,0.10999999999999999,3
bed_resident_fraction,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.25999999999999995,0.03999999999999998,0.02309401076758502,0.16063449153112908,0.35936550846887083,0.21999999999999997,0.29999999999999993,3
bed_resident_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-0.24666666666666667,0.03055050463303896,0.017638342073763955,-0.3225583273377295,-0.17077500599560383,-0.28,-0.21999999999999997,3
bed_resident_fraction,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,-0.06000000000000005,0.010000000000000009,0.005773502691896263,-0.08484137711721781,-0.0351586228827823,-0.07000000000000006,-0.050000000000000044,3
bed_resident_fraction,velocity_size_interaction,difference_of_differences,3,0.18666666666666662,0.025166114784235857,0.014529663145135593,0.12415057187362748,0.24918276145970575,0.15999999999999992,0.20999999999999996,3
centered_msd_bootstrap_fraction_above_one,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
centered_msd_bootstrap_fraction_above_one,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
centered_msd_bootstrap_fraction_above_one,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
centered_msd_bootstrap_fraction_above_one,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
centered_msd_bootstrap_fraction_above_one,velocity_size_interaction,difference_of_differences,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
centered_msd_exponent,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,-0.12084346618526716,0.020301115007420885,0.011720854214384,-0.17127423156520222,-0.0704127008053321,-0.13638646855113534,-0.09787503838424705,3
centered_msd_exponent,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.0033796031122965697,0.0277889775275578,0.016043973656039958,-0.06565204393409865,0.07241125015869179,-0.013914138588764002,0.035434210835704194,1
centered_msd_exponent,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-0.08960624172666283,0.014818371871568559,0.008555390989002086,-0.12641711811914344,-0.05279536533418222,-0.0994820905571383,-0.07256729039912169,3
centered_msd_exponent,gas_velocity_0p20_minus_0p10,df_over_dp=0.10,3,0.0346168275709009,0.022670551236860268,0.01308884885927848,-0.021699943702104388,0.09093359884390619,0.020118284486640103,0.060741958820829556,3
centered_msd_exponent,velocity_size_interaction,difference_of_differences,3,0.12422306929756373,0.008349624015788292,0.004820657673147535,0.10348145340124623,0.14496468519388123,0.11688762871036862,0.13330924921995124,3
cfd_to_ergun_pressure_drop_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.10,3,0.0001347706555940853,7.175450927022985e-05,4.14274852427367e-05,-4.347742687018223e-05,0.0003130187380583528,5.856141537541326e-05,0.00020103239522195615,3
cfd_to_ergun_pressure_drop_ratio,df_over_dp_0p10_minus_0p05,gas_velocity=0.20,3,0.00015105073402232883,5.2621475445657335e-05,3.0381023013705548e-05,2.033174242133012e-05,0.00028176972562332756,0.00011663859022459366,0.0002116258380467917,3
cfd_to_ergun_pressure_drop_ratio,gas_velocity_0p20_minus_0p10,df_over_dp=0.05,3,-0.004615455997357909,0.00012118068695064422,6.996370223153821e-05,-0.004916485511744355,-0.004314426482971463,-0.004717445436003387,-0.004481495172344863,3
