case,role,gas_velocity_m_s,mesh,mesh_cell_count,minimum_voidfraction,cfd_timestep_s,dem_timestep_s,coupling_interval_dem_steps,debris_diameter_m,debris_density_kg_m3,debris_mass_kg,debris_gravity_m_s2,youngs_modulus_Pa,poisson_ratio,gravity_direction_z,debris_weight_reference_N,p90_particle_maximum_contact_force_N,p90_particle_maximum_contact_force_over_debris_weight,p90_particle_maximum_contact_equal_sphere_hertz_overlap_m,p90_particle_maximum_contact_equal_sphere_hertz_overlap_over_df,pressure_drop_tail_mean_Pa,pressure_gradient_tail_mean_Pa_m,ergun_reference_pressure_gradient_Pa_m,cfd_to_ergun_pressure_drop_ratio,outlet_to_inlet_superficial_flux_ratio,pressure_plateau_range_fraction,mean_dx_dp,mean_dz_dp,outlet_fraction,outlet_censoring_applied,fpt_5dp_reached_fraction,fpt_5dp_p50_s,late_origin_local_alpha_p50,late_origin_local_alpha_p10,late_origin_local_alpha_p90,centered_msd_exponent,centered_msd_exponent_ci95_low,centered_msd_exponent_ci95_high,centered_msd_bootstrap_fraction_above_one,velocity_positive_integral_time_s,velocity_memory_origin_start_s,velocity_variance_ratio_20ms,velocity_variance_ratio_50ms,velocity_variance_ratio_max_abs_log_10_100ms,initial_velocity_positive_integral_time_s,non_gaussian_parameter_20ms,non_gaussian_parameter_50ms,fractional_fpt_alpha,fractional_fpt_cdf_rmse,classical_fpt_cdf_rmse,fractional_fpt_residual_bic_improvement,ever_contacted_fraction,mean_sampled_contact_fraction,mean_total_fluid_impulse_x_N_s,mean_sampled_pair_contact_impulse_x_N_s,mean_mechanical_contact_impulse_x_N_s,mean_mechanical_contact_impulse_z_N_s,mean_mechanical_contact_net_work_J,mean_time_averaged_total_fluid_force_x_N,mean_time_averaged_pair_contact_force_x_N,mean_time_averaged_mechanical_contact_force_x_N,mean_time_averaged_wall_force_x_N,mean_time_averaged_total_fluid_force_z_N,mean_time_averaged_gravity_force_z_N,expected_gravity_force_z_N,gravity_force_absolute_error_N,gravity_force_relative_error,gravity_force_scale_check_passed,mean_time_averaged_pair_contact_force_z_N,mean_time_averaged_mechanical_contact_force_z_N,mechanical_residual_momentum_identity_error_N_s,mechanical_residual_energy_identity_error_J,standard_output_resolves_total_force_impulse,standard_output_resolves_total_force_work,mean_time_averaged_wall_force_z_N,mean_bottom_wall_contact_sample_fraction,all_lower_clipped_fraction,raw_voidfraction_mean,raw_voidfraction_p01,raw_voidfraction_p10,raw_voidfraction_p50,raw_voidfraction_min,maximum_clipping_increment,release_seed,df_over_dp,bed_resident_fraction,early_contact_vs_later_dx_spearman_r,early_contact_vs_later_dx_geometry_adjusted_r,early_contact_later_dx_difference_dp,mean_drag_impulse_x_N_s,mean_total_fluid_impulse_z_N_s,mean_gravity_impulse_z_N_s,mean_wall_impulse_x_N_s,mean_wall_impulse_z_N_s,mean_sampled_pair_contact_impulse_z_N_s,mean_drag_work_x_J,mean_explicit_fluid_work_J,mean_total_fluid_work_J,mean_gravity_work_J,mean_wall_work_J,mean_wall_contact_sample_fraction,mean_sampled_pair_contact_work_J,sampled_momentum_balance_relative_error_p50,sampled_momentum_balance_relative_error_p90,sampled_energy_balance_relative_error_p50,sampled_energy_balance_relative_error_p90,ensemble_momentum_balance_relative_error,ensemble_energy_balance_relative_error,ensemble_force_balance_particle_count,ensemble_mechanical_contact_impulse_x_N_s,ensemble_mechanical_contact_impulse_y_N_s,ensemble_mechanical_contact_impulse_z_N_s,ensemble_mechanical_contact_net_work_J,variance_top10_observed_share,variance_top10_gaussian_null_p50,variance_top10_outlet_capped_null_p50,variance_top10_observed_to_null_mean_ratio,variance_top10_observed_to_outlet_capped_null_mean_ratio,variance_top10_null_upper_p,variance_top10_outlet_capped_null_upper_p,variance_top10_exceeds_null_p97p5,archimedes_force_field_match,archimedes_force_maximum_relative_error,inertial_local_final_centered_msd_x_m2,inertial_local_final_mean_dx_dp,inertial_local_fpt_5dp_reached_fraction,inertial_permuted_final_centered_msd_x_m2,inertial_permuted_final_mean_dx_dp,inertial_permuted_fpt_5dp_reached_fraction,inertial_uniform_final_centered_msd_x_m2,inertial_uniform_final_mean_dx_dp,inertial_uniform_fpt_5dp_reached_fraction,selected_mesh_route
paper3_rr_posteq_ug010_df005_s20260713_zero_300ms_20260716,primary,0.1,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,5e-05,2390.0,1.564251342099918e-10,9.81,90000000000.0,0.25,-1.0,1.5345305666000198e-09,9.364675657047545e-05,61026.32206145214,5.553564751618202e-09,0.00011107129503236403,57.104563840000004,1268.9903075555558,1621.788367192756,0.782463565053264,0.9999953846153846,7.409565392802668e-05,19.699444088914827,-0.58763814668202,0.05,True,0.83,0.05196360020532018,1.8424872349374872,1.7746284699515578,1.8699012507974422,1.8705024800674976,1.8462284403644582,1.8955118927948578,1.0,0.06714915088529413,0.15000000000000002,0.8834969480681227,0.7474126160775175,0.6128650412983871,0.07831781048051042,-0.10103614531688199,-0.2983210532103894,0.8448366030341679,0.06818550847252347,0.13305470067709319,142.37573912735184,0.99,0.5833320763641078,7.337173760400546e-09,-5.404433963184239e-09,-7.331213220577249e-09,3.7906900341471154e-10,-7.633657205886189e-11,2.467279319995176e-08,-1.8108580747519548e-08,-2.4650199903704388e-08,-5.695904487453011e-09,2.6475813063108935e-10,-1.53453056660002e-09,-1.5345305666000198e-09,2.0679515313825692e-25,1.3476118210955046e-16,True,-1.4148064675518337e-08,1.2695132807261796e-09,4.702594329699312e-23,2.8628204012577442e-24,False,False,1.598484421975956e-08,0.05267910696434522,0.46102367433675334,0.41879002129187987,0.34888503634279,0.3722105761651,0.40351924151100005,0.334684,0.06531567935900001,20260713,0.05,0.95,-0.32479919847027316,-0.46172968222693384,10.489590129137172,7.337173760400546e-09,7.538472897992073e-11,-4.544987977461606e-10,-1.7087713462359038e-09,4.7954532659278696e-09,-4.244782745501761e-09,1.5035865885845559e-10,-6.17935019863031e-17,7.594530787956946e-11,9.017952741614227e-13,-1.4239146897737623e-14,0.10969010329890037,-3.8198079084591086e-11,0.9993874642174486,0.9999997197840806,0.9999684298148278,0.999999999999737,0.9676679788741418,0.9739154764369894,100,-7.331213220577252e-07,-2.6224770961423284e-09,3.790690034147116e-08,-7.633657205886186e-09,0.2736430818455622,0.43009998800525095,0.3942796089361632,0.6333625338197896,0.6896561397180021,1.0,1.0,False,True,3.5960041166183725e-16,0.0003858930297134925,38.670411610062935,1.0,0.0003858930297134925,38.67041161006294,1.0,4.81482486096809e-35,38.70614479883565,1.0,coarse_2p5dp
paper3_rr_posteq_ug010_df005_s20260714_zero_300ms_20260716,primary,0.1,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,5e-05,2390.0,1.564251342099918e-10,9.81,90000000000.0,0.25,-1.0,1.5345305666000198e-09,8.511905440523034e-05,55469.11626128389,5.211081593285805e-09,0.00010422163186571608,57.1018152,1268.9292266666666,1621.788367192756,0.7824259023778344,0.9996358974358975,2.182767738014975e-05,19.944185380229143,-0.6115979121224132,0.06,True,0.75,0.0449610899887635,1.9243398451686538,1.8252781869255923,1.9483469111012828,1.9152243165186087,1.893486774806587,1.9352591874729075,1.0,0.07982727105273357,0.15000000000000002,0.8935717741981245,0.798814171806711,0.4915992785448388,0.09297682523512003,-0.24290118610922817,-0.2980973144737967,0.7970223786903283,0.09753878011469401,0.14636933515769865,84.59379648440307,0.99,0.623793796924159,8.34116931453615e-09,-5.7087431540653975e-09,-8.33539335521137e-09,3.580112613585977e-10,-8.926615413915115e-11,2.804051157083215e-08,-1.9146042916908432e-08,-2.801874462746772e-08,-9.039662485795031e-09,3.30892109623015e-10,-1.53453056660002e-09,-1.5345305666000198e-09,2.0679515313825692e-25,1.3476118210955046e-16,True,-2.2129575383216943e-08,1.2021010669324187e-09,5.714792235112435e-23,1.6155871338926322e-24,False,False,2.3575390864601188e-08,0.03594468510496501,0.48197242982893207,0.41774804696528056,0.34796583750022003,0.3704915655121,0.401986513561,0.274561,0.125350768622,20260714,0.05,0.94,-0.470416331760635,-0.5357394092120923,10.94299243599808,8.34116931453615e-09,9.616682959582351e-11,-4.5460928394695577e-10,-2.71189874573851e-09,7.072617259380358e-09,-6.638404029206187e-09,1.7511285899253935e-10,-6.440399239761113e-17,8.879372375210117e-11,9.38583659708192e-13,-3.4531301912535506e-15,0.10308563812062646,-6.990681108760274e-11,0.9994560025869343,0.9999998761423856,0.9999999675401948,1.0,0.9880843221119092,0.9540476127422407,100,-8.335393355211371e-07,-2.290489192131388e-09,3.5801126135859775e-08,-8.926615413915113e-09,0.21141572357057128,0.43009998800525095,0.3784903496130789,0.4893337608497366,0.5548343149252377,1.0,1.0,False,True,3.5960041166183725e-16,0.00044245611403881586,40.81514509671447,1.0,0.0004424561140388158,40.81514509671447,1.0,0.0,40.859771520411506,1.0,coarse_2p5dp
paper3_rr_posteq_ug010_df005_s20260715_zero_300ms_20260716,primary,0.1,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,5e-05,2390.0,1.564251342099918e-10,9.81,90000000000.0,0.25,-1.0,1.5345305666000198e-09,8.519699629890342e-05,55519.908272449735,5.214262233310402e-09,0.00010428524466620804,57.09133232000001,1268.696273777778,1621.788367192756,0.782282262866292,1.000142564102564,0.0001278302625535696,22.299610335000224,-0.5853222539627256,0.11,True,0.86,0.04939960362803295,1.880374898763708,1.7674587382641769,1.8943513762855466,1.88770556949791,1.862850442202392,1.91065215465704,1.0,0.07210550053347378,0.15000000000000002,0.9142242842735273,0.8467342407589427,0.29313915752967973,0.07603302906179162,-0.28641828669512104,-0.3658128476662714,0.8957103997852919,0.0655482535652518,0.13831679508904923,159.58674246481542,0.97,0.5648253009252466,7.639804223498446e-09,-7.530153591115066e-09,-7.63148927759785e-09,3.820122642491887e-10,-9.78930439672169e-11,2.5746691751836476e-08,-2.527849852940199e-08,-2.5717068710928034e-08,7.574433279045967e-11,2.4753721565726573e-10,-1.53453056660002e-09,-1.5345305666000198e-09,2.0679515313825692e-25,1.3476118210955046e-16,True,-3.4639870104739624e-09,1.2849097279449842e-09,3.897619981649577e-22,9.822769774067204e-25,False,False,5.136968234328941e-09,0.05515494835054982,0.5314436666666666,0.4143449819261162,0.35200663001698,0.3694357933005,0.39635296962550004,0.32186,0.07813240142,20260715,0.05,0.89,-0.33277924207909865,-0.3489676945890637,12.577263715743113,7.639804223498446e-09,7.191667106818945e-11,-4.5452641929635934e-10,2.2723299837137904e-11,1.5410904702986824e-09,-1.0408987312461893e-09,1.8914167921727876e-10,-6.15092470088462e-17,9.774783634741578e-11,8.983312326713134e-13,-4.605985786677984e-16,0.055568143952015994,-8.633378546192226e-11,0.9981574106337057,0.9999998394997076,0.9988797565249156,0.9999999999995385,0.9301425167562072,0.8846944920824552,100,-7.631489277597849e-07,1.322853213774233e-09,3.820122642491888e-08,-9.789304396721687e-09,0.24796753614331138,0.43009998800525095,0.37682899979409024,0.5739350176059456,0.6537179434490666,1.0,1.0,False,True,3.5960041166183725e-16,0.0004142458747492134,40.995501731632345,1.0,0.00041424587474921343,40.99550173163233,1.0,4.81482486096809e-35,41.037409404311454,1.0,coarse_2p5dp
paper3_rr_posteq_ug010_df010_s20260713_zero_300ms_20260716,primary,0.1,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,0.0001,2390.0,1.2514010736799345e-09,9.81,90000000000.0,0.25,-1.0,1.2276244532800158e-08,0.00019187377272819047,15629.679924958687,7.110668371842966e-09,7.110668371842966e-05,57.11512544000001,1269.225009777778,1621.788367192756,0.7826082832094489,0.9996348717948718,0.00025095979199166933,17.349812529588554,-2.3029527288386102,0.0,True,0.77,0.06675179736756118,1.8280049486379613,1.7541714352184883,1.8652438935662707,1.7726274416832506,1.7280101464278836,1.8095675120871608,1.0,0.04763387895023807,0.15000000000000002,0.9673740137236515,0.9115837320086642,0.1703340488107533,0.06514077767977956,-0.2626687984940993,-0.34096842916166903,0.8153453192092073,0.0724632726199133,0.13219912576148468,127.57000203231814,1.0,0.4759380206597801,1.6604277171275214e-08,-1.2194295476511497e-08,-1.6555711717628607e-08,2.6062058999516424e-09,-5.012746394463807e-10,5.534759057091738e-08,-4.0647651588371636e-08,-5.518570572542868e-08,-8.712839195875381e-09,3.565150872770732e-09,-1.227624453280016e-08,-1.2276244532800158e-08,1.6543612251060553e-24,1.3476118210955046e-16,True,-6.233235871215769e-09,8.687352999838806e-09,6.082003621070787e-22,1.6181720733068604e-23,False,False,8.892862678184582e-09,0.14034988337220927,0.48285233333333333,0.40916839607786143,0.34708049737246,0.3701442114276,0.4008862102535,0.303077,0.09687620292600002,20260713,0.1,1.0,-0.13048578880922151,-0.28156084979510376,9.633189811433107,1.6604277171275214e-08,1.0695452618312198e-09,-3.6828733598400483e-09,-2.6138517587626156e-09,2.667858803455376e-09,-1.8699707613647305e-09,6.613100830634992e-10,-1.9401636870176905e-15,4.763079270832454e-10,2.8271610846702193e-11,-6.139454612798465e-14,0.18544151949350215,-5.936098777081612e-10,0.991402967244132,0.9999087218349093,0.9968200953546269,0.9999998761272704,0.9661412933496492,1.0,100,-1.6555711717628607e-06,4.551547061372927e-09,2.606205899951641e-07,-5.012746394463805e-08,0.28507124922183813,0.43009998800525095,0.4246124537218363,0.6598136795879834,0.6687556888621397,0.999950002499875,0.999950002499875,False,True,3.5960041166183725e-16,0.0003751967617049514,38.22254713266692,1.0,0.00037519676170495134,38.222547132666925,1.0,4.81482486096809e-35,38.365248602354946,1.0,coarse_2p5dp
paper3_rr_posteq_ug010_df010_s20260714_zero_300ms_20260716,primary,0.1,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,0.0001,2390.0,1.2514010736799345e-09,9.81,90000000000.0,0.25,-1.0,1.2276244532800158e-08,0.00021938856406746287,17870.983547231546,7.775160059948636e-09,7.775160059948636e-05,57.10608903999999,1269.0242008888888,1621.788367192756,0.7824844637932098,0.9997569230769231,0.0002889078954164421,16.765578658798738,-2.50193658455294,0.0,True,0.8,0.06396895872494326,1.7787198297073423,1.745799728644192,1.8406227275207059,1.7788378479674734,1.7378682319287653,1.8155028654449852,1.0,0.04910076980506238,0.15000000000000002,0.9477667402739343,0.8426626064240172,0.3484416188039346,0.059206907315537086,-0.28619605893957256,-0.4383725289266056,0.815911981096488,0.06563120754671821,0.13093783718861285,147.24722272253751,0.99,0.4369110296567812,1.6406799317105718e-08,-1.533078290096767e-08,-1.6363778705587262e-08,2.5085529744528553e-09,-4.911041737465763e-10,5.4689331057019046e-08,-5.1102609669892254e-08,-5.454592901862421e-08,7.963666767477824e-11,3.896833741752829e-09,-1.227624453280016e-08,-1.2276244532800158e-08,1.6543612251060553e-24,1.3476118210955046e-16,True,4.681619154382003e-09,8.361843248176185e-09,1.0872943488298735e-21,1.137373342260413e-23,False,False,1.8926601622119916e-09,0.14719426857714094,0.44225733333333334,0.41497575766841305,0.35397579927621,0.37358407193459997,0.403648505484,0.337389,0.06258914951300004,20260714,0.1,1.0,-0.0044766088217009885,-0.06959692800091681,9.279660439975443,1.6406799317105718e-08,1.1690501225258487e-09,-3.6828733598400483e-09,2.3891000302433472e-11,5.677980486635975e-10,1.404485746314601e-09,6.542340358052081e-10,-2.108136663135345e-15,4.63184489151667e-10,3.071438531753073e-11,-1.9295112389086143e-13,0.19233255581472844,-4.671636614487475e-10,0.9924739641377194,0.9997811802850113,0.9986664484495575,0.9999999994584141,0.965920640343992,0.8095267644178614,100,-1.6363778705587268e-06,-7.221540928037082e-09,2.5085529744528554e-07,-4.911041737465765e-08,0.27343575165769246,0.43009998800525095,0.4276690014017671,0.6328826562645418,0.6369638331795959,1.0,1.0,False,True,3.5960041166183725e-16,0.00043202073764701284,40.314359160294345,1.0,0.0004320207376470129,40.314359160294345,1.0,0.0,40.4928692742884,1.0,coarse_2p5dp
paper3_rr_posteq_ug010_df010_s20260715_zero_300ms_20260716,primary,0.1,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,0.0001,2390.0,1.2514010736799345e-09,9.81,90000000000.0,0.25,-1.0,1.2276244532800158e-08,0.0002874068768595662,23411.62853930297,9.308894707667465e-09,9.308894707667464e-05,57.10600376,1269.0223057777778,1621.788367192756,0.782483295261514,0.9997589743589743,0.00029838543897419653,18.26347661646654,-1.9820271609542714,0.0,True,0.83,0.06926188501717802,1.805566023123054,1.7427788233014507,1.8554305671374105,1.7594366778774908,1.7095874151577368,1.7967085126427007,1.0,0.044793637702109035,0.15000000000000002,0.9927602233882059,0.9757577290093271,0.06381880737068446,0.053307615209454526,-0.29352474387207006,-0.36940445422976487,0.8626696874642259,0.05957409103991705,0.12703277386173006,161.8888765482634,0.98,0.48011329556814397,1.7684552939652233e-08,-1.8028894736008886e-08,-1.762685851393479e-08,2.8088103234624074e-09,-4.973568817298589e-10,5.894850979884076e-08,-6.009631578669629e-08,-5.875619504644929e-08,2.67103386077404e-10,2.895252496402298e-09,-1.227624453280016e-08,-1.2276244532800158e-08,1.6543612251060553e-24,1.3476118210955046e-16,True,5.908251227831215e-09,9.362701078208021e-09,3.433645781601088e-22,1.4268865566539727e-23,False,False,2.0447846612814737e-09,0.10483838720426526,0.546987,0.40553260032564675,0.34811349394446,0.3679624665202,0.3962362461285,0.276821,0.12313965509900004,20260715,0.1,1.0,-0.1463320963368805,-0.19725145398356664,10.093601312864779,1.7684552939652233e-08,8.685757489206896e-10,-3.6828733598400483e-09,8.013101582322119e-11,6.134353983844422e-10,1.7724753683493651e-09,6.68774900902036e-10,-1.6693580185808638e-15,4.773296670924604e-10,2.4331850098526297e-11,-7.060759735125813e-14,0.11372542485838054,-5.561387287454344e-10,0.9946530812383774,0.999940745619769,0.9984065144414149,1.0,0.9483052548648082,1.0,100,-1.7626858513934789e-06,-6.991591158636026e-09,2.8088103234624086e-07,-4.9735688172985875e-08,0.3288804424461728,0.43009998800525095,0.42662239453806716,0.7612125581491641,0.7681520502374248,0.9975501224938753,0.9975001249937503,False,True,3.5960041166183725e-16,0.00039975667234225395,40.450237036845586,1.0,0.00039975667234225395,40.450237036845586,1.0,4.81482486096809e-35,40.61764251508536,1.0,coarse_2p5dp
paper3_rr_posteq_ug020_df005_s20260713_zero_300ms_20260716,primary,0.2,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,5e-05,2390.0,1.564251342099918e-10,9.81,90000000000.0,0.25,-1.0,1.5345305666000198e-09,0.00012002060053461747,78213.23546558015,6.552603306761369e-09,0.00013105206613522736,115.34786496000001,2563.2858880000003,3295.7874341583706,0.7777461196172606,0.9998997435897435,3.966783435117914e-05,25.54178001923986,-0.38112351281011186,0.33,True,0.86,0.02953352235395537,1.7179839680179478,0.909879482500155,1.8553526151397732,1.797935189668376,1.7634100553804442,1.8304868227367983,1.0,0.06879159045047327,0.15000000000000002,0.8445131264420171,0.7132549437464529,0.6461441622966978,0.05918139842387548,0.1651128380118021,0.33059285454503673,0.8607466348335318,0.07730885701999077,0.14371206383684726,131.70022633067924,1.0,0.5549398428188617,1.3141540608419658e-08,-6.033087912741639e-09,-1.3126113619126921e-08,3.709403154624667e-10,-2.8136575218821865e-10,4.774377887548911e-08,-2.2926010260675047e-08,-4.76694903839996e-08,-2.052044883399726e-08,2.094525297332077e-10,-1.53453056660002e-09,-1.5345305666000198e-09,2.0679515313825692e-25,1.3476118210955046e-16,True,4.4531255718717556e-08,1.3204543006291327e-09,3.823418230945417e-22,4.6011921573262164e-24,False,False,-4.306579660815215e-08,0.05937687437520827,0.4030066666666667,0.4696594396584696,0.35322768031900004,0.3711076665439,0.40991961973,0.324773,0.07521726751400004,20260713,0.05,0.6699999999999999,-0.3571816485208188,-0.6171572607213406,9.70632836342996,1.3141540608419658e-08,4.3961113804733754e-11,-4.157611081229096e-10,-6.15613465019918e-09,-1.2919738982445645e-08,1.3268540391557319e-08,4.4640270744154815e-10,-3.995919136993479e-17,2.829284815894027e-10,5.851993351044812e-13,-2.1367874070495583e-15,0.15055314895034988,-1.5001885672755141e-10,0.9975215720989671,0.9999999322513317,0.9998416536738876,0.9999999999999687,0.9682596725379892,0.9683284520238533,100,-1.312611361912692e-06,1.0502658859494128e-09,3.7094031546246685e-08,-2.813657521882188e-08,0.21743056242583234,0.43009998800525095,0.38051643349159625,0.5032554487367189,0.5683494287064967,1.0,1.0,False,True,3.5960041166183725e-16,0.0015575338441195898,77.71620107177999,1.0,0.0015575338441195896,77.71620107177999,1.0,0.0,77.78816942957344,1.0,coarse_2p5dp
paper3_rr_posteq_ug020_df005_s20260714_zero_300ms_20260716,primary,0.2,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,5e-05,2390.0,1.564251342099918e-10,9.81,90000000000.0,0.25,-1.0,1.5345305666000198e-09,0.00011870556289214473,77356.2713417658,6.5046519124017205e-09,0.0001300930382480344,115.3526636,2563.3925244444445,3295.7874341583706,0.7777784749941089,1.000081282051282,7.833715943784761e-05,22.111312882231083,-0.4356419790397981,0.28,True,0.73,0.024794658287621004,1.7188383230692612,1.1857055155222056,1.8714780722082194,1.8157422259614704,1.7658779414132797,1.8618530030352036,1.0,0.09069124120878921,0.15000000000000002,0.7993280106940612,0.6594148466604074,0.49998245197146046,0.08196275443423962,0.3692407813875662,0.44581806709186145,0.7792051404597204,0.13968238828127044,0.15118604254310353,12.710310412446006,0.99,0.6241104275222695,1.5708881405741428e-08,-6.390183681347285e-09,-1.569534415390076e-08,4.4422473279918407e-10,-2.5649597342370953e-10,5.64526172946742e-08,-2.7951001795964547e-08,-5.6388079276075305e-08,-3.2138674075784345e-08,2.9619113669794575e-11,-1.53453056660002e-09,-1.5345305666000198e-09,2.0679515313825692e-25,1.3476118210955046e-16,True,-2.118752053959092e-08,1.4985921242117624e-09,5.947587672299003e-22,1.809457589959748e-25,False,False,2.7101719162559943e-08,0.03801732755748084,0.43233333333333335,0.4617917074192226,0.35408387341694997,0.3731474914049,0.408019528236,0.274723,0.125159454595,20260714,0.05,0.72,-0.6265212072902325,-0.72477673957558,7.565175207834964,1.5708881405741428e-08,-2.4187677237615417e-11,-4.213406612630673e-10,-9.641602222735306e-09,8.130515748767983e-09,-6.9657417651149106e-09,4.1416149724819376e-10,-4.6048177439557717e-17,2.575507273410874e-10,6.689813693797268e-13,-5.008969356306726e-16,0.136867710763079,-3.5392668655890174e-10,0.9999755703420652,0.9999999858193771,0.9999999771998169,0.9999999999999957,0.9915244614895202,1.0,100,-1.5695344153900764e-06,-1.319501884860186e-09,4.4422473279918416e-08,-2.564959734237095e-08,0.17883457891328144,0.43009998800525095,0.37399979199688377,0.41392284164902216,0.4751410252016345,1.0,1.0,False,True,3.5960041166183725e-16,0.0017559779665149997,81.89592896706768,1.0,0.0017559779665149997,81.89592896706768,1.0,0.0,81.9857721384137,1.0,coarse_2p5dp
paper3_rr_posteq_ug020_df005_s20260715_zero_300ms_20260716,primary,0.2,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,5e-05,2390.0,1.564251342099918e-10,9.81,90000000000.0,0.25,-1.0,1.5345305666000198e-09,0.00012466508273365265,81239.88237644991,6.720577073395598e-09,0.00013441154146791195,115.35596984000001,2563.465996444445,3295.7874341583706,0.7778007676939471,1.0000307692307693,1.4359031459619312e-05,25.296960953250792,-0.2716639068766408,0.35,True,0.82,0.02759859064800209,1.6438845408885063,1.089065275812787,1.8308856421376045,1.7909362252741814,1.7388726082859067,1.832331769827706,1.0,0.07734938096958957,0.15000000000000002,0.7800311983101376,0.634409410587872,0.8256309208091701,0.05873538702809726,0.3803691189345517,0.7308425311009892,0.8518349111247124,0.10717848466813464,0.153204169204418,73.90022759881242,0.97,0.5795121297002872,1.558047641744639e-08,-1.1491609151407668e-08,-1.556468212553398e-08,4.907774475813834e-10,-3.1658089076603696e-10,5.675995183138391e-08,-4.626827010657544e-08,-5.6680351390745065e-08,-1.7717233081191927e-08,-1.870630075503476e-10,-1.53453056660002e-09,-1.5345305666000198e-09,2.0679515313825692e-25,1.3476118210955046e-16,True,4.774277217114946e-09,1.718461089933422e-09,7.815231495005026e-22,5.686866711302065e-24,False,False,-5.203572039360898e-10,0.06087637454181939,0.4943086666666667,0.4725987483131868,0.35101359529798004,0.3672473273883,0.40016321218,0.321707,0.07824580627600003,20260715,0.05,0.65,-0.5729253240905603,-0.6008436738012989,7.9512199565384485,1.558047641744639e-08,-8.128626277845057e-11,-4.1007413784309e-10,-5.3151699243575776e-09,-1.5610716118082768e-10,9.929069613192507e-10,4.943366573097723e-10,-2.9128081944970174e-17,3.183502537968813e-10,4.1725831377861455e-13,-9.338785121868735e-16,0.10983005664778409,-4.6488068352438206e-10,0.999853258596161,0.9999999793970473,0.9999997881059102,0.9999999999999998,0.9991690984778052,1.0,100,-1.5564682125533973e-06,1.6020905683451595e-09,4.907774475813835e-08,-3.16580890766037e-08,0.21321481539372011,0.43009998800525095,0.3807757442651477,0.4934978615753932,0.5570704207120997,1.0,1.0,False,True,3.5960041166183725e-16,0.0016495599707262382,82.3725781749214,1.0,0.0016495599707262382,82.3725781749214,1.0,1.7333369499485123e-33,82.45679437201657,1.0,coarse_2p5dp
paper3_rr_posteq_ug020_df010_s20260713_zero_300ms_20260716,primary,0.2,coarse_2p5dp,660,0.4,1e-05,2e-09,5000,0.0001,2390.0,1.2514010736799345e-09,9.81,90000000000.0,0.25,-1.0,1.2276244532800158e-08,0.00034001076671314053,27696.64336717033,1.0412662549904101e-08,0.000104126625499041,115.37925128000002,2563.983361777778,3295.7874341583706,0.7779577454553074,1.0003789743589744,5.984091527202582e-05,22.488182137475267,-1.3184012391535718,0.07,True,0.89,0.045446259756894265,1.8530778118795443,1.816679894619004,1.8673487176071906,1.8333694005040801,1.8062154494466216,1.8566991312302128,1.0,0.058389504665908296,0.15000000000000002,0.92788468313815,0.8529809423705339,0.2988051632001687,0.05274393842540438,-0.2234722675249522,-0.3701125752289527,0.7769550811960062,0.0575037321581931,0.11114751852851854,140.2813812600432,0.99,0.4635408861361661,3.034783977542858e-08,-2.4267572641493e-08,-3.027921102250248e-08,2.9412640757489966e-09,-1.4561568995371268e-09,1.0156448046553852e-07,-8.117836255636289e-08,-1.0133273430859675e-07,-1.626616998575179e-08,2.4348579875956824e-09,-1.227624453280016e-08,-1.2276244532800158e-08,1.6543612251060553e-24,1.3476118210955046e-16,True,4.7259757823855194e-07,9.834942273899335e-09,6.093697665150332e-22,3.9808066979114457e-23,False,False,-4.66195648001985e-07,0.1533922025991336,0.4783693333333333,0.4133352965176942,0.34873890877965,0.3717663654006,0.401562867226,0.317557,0.08241745863600003,20260713,0.1,0.9299999999999999,-0.17329444877303224,-0.3530336022818947,7.748801197149692,3.034783977542858e-08,7.262314437729307e-10,-3.6693817670985013e-09,-4.879850995725538e-09,-1.3985869440059548e-07,1.4178117872549074e-07,1.8203713210257704e-09,-1.111697520574955e-15,1.4458024792316524e-09,1.6185586723080798e-11,-6.528749966868706e-12,0.2569976674441853,-1.5853767794563125e-09,0.9934279426559334,0.9999530892050924,0.9991371528150179,0.9999999993132584,0.9544202778987195,1.0,100,-3.0279211022502486e-06,-7.036708581092867e-09,2.941264075748997e-07,-1.4561568995371273e-07,0.2329574403326644,0.43009998800525095,0.3763668311008034,0.5391932940023698,0.6147924385791291,1.0,1.0,False,True,3.5960041166183725e-16,0.001514399567914104,76.8163223861922,1.0,0.001514399567914104,76.8163223861922,1.0,0.0,77.10351830253754,1.0,coarse_2p5dp
