ix,iy,iz,x_center_m,y_center_m,z_center_m,resolved_fluid_volume_m3,resolved_epsilon,unresolved_epsilon_raw,unresolved_epsilon_drag_used,resolved_ux_m_per_s,resolved_uy_m_per_s,resolved_uz_m_per_s,resolved_mean_umag_m_per_s,resolved_ux_std_within_bin_m_per_s,unresolved_ux_m_per_s,unresolved_uy_m_per_s,unresolved_uz_m_per_s,resolved_qx_m_per_s,unresolved_qx_m_per_s,resolved_p_m2_per_s2,unresolved_p_m2_per_s2
0,0,0,0.00125,0.00125,0.0013,7.334518984367877e-09,0.4513550144226386,0.455568,0.455568,0.24555791115659345,-0.03614137393975019,-0.02225299458758463,0.3001321261954836,0.20903209904872974,0.254887,-0.00419725,-0.00464852,0.11083379453167724,0.116118364,126.62680926400965,348.591
0,0,1,0.00125,0.00125,0.0039,6.925630154794487e-09,0.42619262491043,0.445569,0.445569,0.22700230585798598,-0.026829911572671613,0.0008081334463208559,0.2898249466088374,0.19590328886735908,0.155092,-0.00229174,-0.00287812,0.09674670859433532,0.06910419,125.84987741588759,348.89
0,0,2,0.00125,0.00125,0.0065,6.55170366895393e-09,0.40318176424331875,0.422236,0.422236,0.20865757805886803,-0.04039452644320294,0.07528900331108603,0.28286626549888694,0.18534274524768632,0.160493,-0.00127292,0.000212744,0.08412693044451242,0.06776592,118.75153065123632,348.893
0,0,3,0.00125,0.00125,0.0091,6.909927125679073e-09,0.4252262846571737,0.453346,0.453346,0.18921402867294282,-0.0031972966493805173,0.14749387613407566,0.308236756305239,0.18527444151691072,0.166307,-0.00302462,0.00611282,0.08045877841761141,0.075394616,107.11574318761078,348.872
0,0,4,0.00125,0.00125,0.011699999999999999,8.409187190931154e-09,0.5174884425188402,0.525567,0.525567,0.26485022009106945,0.02143216329591603,0.1616020692582495,0.4070928638939787,0.2746027735341371,0.377975,-0.00782234,0.0125227,0.13705692789569957,0.19865118,85.9122611384573,348.298
0,1,0,0.00125,0.00375,0.0013,7.157333176141872e-09,0.4404512723779614,0.450013,0.450013,0.24582590505566634,-0.054966475991304525,-0.0048684310610912825,0.3139488351315798,0.21618716755042894,0.185173,-0.0035396,-0.00302348,0.10827433266523218,0.08333026,130.64170665459972,348.848
0,1,1,0.00125,0.00375,0.0039,6.4568888890699155e-09,0.39734700855814864,0.413347,0.413347,0.23877411567547419,0.0052199246442290745,0.01250848434252303,0.3076737032157843,0.22489303326442872,0.0571885,-0.000615091,-0.000558125,0.09487618058476702,0.023638695,128.1263624881723,349.115
0,1,2,0.00125,0.00375,0.0065,6.3940735861259985e-09,0.3934814514539076,0.442235,0.442235,0.2475538839728215,-0.03737219115259712,0.058305596071157116,0.31764578322014037,0.2566525053498051,0.124484,-0.0012048,-0.000234326,0.09740786157867803,0.05505118,122.11721287734645,349.014
0,1,3,0.00125,0.00375,0.0091,6.41866648761901e-09,0.3949948607765545,0.376681,0.4,0.20448440795901018,-0.04273866554707551,0.13231122456628439,0.3309252821839203,0.18932536743251419,0.0215361,-0.000327818,0.000489499,0.0807702902527454,0.00811224,107.86192223186545,349.151
0,1,4,0.00125,0.00375,0.011699999999999999,8.14518649954308e-09,0.501242246125728,0.495567,0.495567,0.30504791121310837,0.013585580128552072,0.20770480258108712,0.4788405069151053,0.33542679997966174,0.211526,-0.00493763,0.00676296,0.1529029001924201,0.10482531,85.44628145424767,348.64
0,2,0,0.00125,0.00625,0.0013,6.904001030041044e-09,0.4248616018486797,0.417791,0.417791,0.23875975805937535,-0.030758885820764782,-0.014322752203685956,0.2959396238868949,0.21250100193408217,0.152513,-0.000295771,-0.00150043,0.10143985326610942,0.06371856,132.58987215827605,348.897
0,2,1,0.00125,0.00625,0.0039,6.249778838094943e-09,0.3846017746519966,0.396681,0.4,0.22306651361085642,-0.0031619760515750575,0.027417936238850683,0.29573948544566026,0.2104320059687639,0.0767005,0.000246844,-0.000648251,0.08579177700016913,0.030425632,129.91605493188473,349.064
0,2,2,0.00125,0.00625,0.0065,5.938667335703286e-09,0.36545645142789457,0.34446,0.4,0.19861027733902475,-0.027396068290499342,0.06213053723173385,0.276691713090371,0.18843654103038374,0.0714797,-0.00010429,-0.000183829,0.07258340717342997,0.024621898,125.86826696231802,349.049
0,2,3,0.00125,0.00625,0.0091,5.960297162182229e-09,0.36678751767275264,0.391125,0.4,0.20010979893950118,-0.02534060085552431,0.10785956175321391,0.2978674854769259,0.2081874967128731,0.0496626,0.000274362,0.00123741,0.07339777641501327,0.019424284,109.79402581654566,349.115
0,2,4,0.00125,0.00625,0.011699999999999999,8.066373342992192e-09,0.4963922057225965,0.524456,0.524456,0.2967879110849455,0.009931695178143022,0.13451523326373602,0.4123862056147482,0.28790142682994835,0.23951,0.000465395,0.00757951,0.14732320581525796,0.12561247,84.97468069474822,348.659
0,3,0,0.00125,0.00875,0.0013,6.690369783197552e-09,0.4117150635813877,0.414458,0.414458,0.2030801056391082,0.00823410937950904,-0.001649958184655378,0.2613460543305355,0.18900179331491954,0.149398,0.000138824,-0.00164112,0.08361113860532036,0.061919197,132.62198929324666,348.88
0,3,1,0.00125,0.00875,0.0039,6.664591774769623e-09,0.41012872460120753,0.428902,0.428902,0.2595655793946329,0.004549676660958005,0.016045446185098004,0.3249874778653594,0.22687733253122574,0.085074,-0.000147603,-0.000827972,0.10645530002749426,0.03648841,130.81445677090278,349.058
0,3,2,0.00125,0.00875,0.0065,6.052442622980746e-09,0.3724580075680458,0.364459,0.4,0.21616684867823222,0.013529877210195967,0.08347030204507243,0.3066015793252165,0.21562625561229412,0.0730293,-0.000145092,-1.27709e-05,0.08051307376095763,0.026616188,125.57352321260299,349.041
0,3,3,0.00125,0.00875,0.0091,6.576592511815648e-09,0.40471338534250134,0.44668,0.44668,0.21474588287783694,-0.02140587473463638,0.16289370675060535,0.3410050855060752,0.1921855159328953,0.106485,-6.38804e-05,0.00295061,0.08691053324785368,0.047564723,109.47022109095046,349.065
0,3,4,0.00125,0.00875,0.011699999999999999,8.127407237815264e-09,0.5001481377117085,0.493345,0.493345,0.296795410267105,-0.011035066803605683,0.18204247868896525,0.45234847710599113,0.3004128643177158,0.209563,-0.000341439,0.00611901,0.14844167172647504,0.10338686,84.71384642416562,348.611
0,4,0,0.00125,0.01125,0.0013,6.782222547284686e-09,0.4173675413713652,0.42668,0.42668,0.2349061107930301,0.01748388266486006,-0.0025970506653473684,0.296083190076273,0.2197589987358141,0.13661,0.00200566,-0.00172304,0.09804218591479649,0.058288757,133.07071800511653,348.883
0,4,1,0.00125,0.01125,0.0039,6.732444955469712e-09,0.41430430495198217,0.425569,0.425569,0.2762549402650862,-0.008194013814982762,0.029266233668779805,0.3521736518261102,0.25801192125529676,0.0726989,0.000633521,-0.00087459,0.11445361101607789,0.030938398,130.85956832749375,349.091
0,4,2,0.00125,0.01125,0.0065,5.906370232670976e-09,0.3634689373951369,0.374459,0.4,0.1819403759460146,0.009588983278328399,0.07319903269502896,0.26022802784626203,0.1828759622464979,0.0651926,0.000959371,-0.000112592,0.06612967511436965,0.024411956,127.23082879865498,349.083
0,4,3,0.00125,0.01125,0.0091,6.385185691903526e-09,0.39293450411714,0.39557,0.4,0.22508980988675054,0.020630031300777247,0.13451431649594645,0.3379936303158297,0.2538314602834675,0.0350622,0.000146046,0.000857904,0.08844555282967163,0.013869556,111.22819941328271,349.126
0,4,4,0.00125,0.01125,0.011699999999999999,7.768002703806314e-09,0.47803093561885,0.480012,0.480012,0.30727439053160394,-0.013731227758378184,0.1271228119893433,0.42933847902891215,0.3096059105267938,0.178662,0.00469154,0.00502493,0.14688666439753453,0.08575991,86.79255730008713,348.69
0,5,0,0.00125,0.01375,0.0013,7.139849995156702e-09,0.43937538431733575,0.442235,0.442235,0.23277029319014567,0.01648916388663669,-0.009493986218105366,0.298043614687443,0.19168167436452505,0.246688,0.00373454,-0.00413017,0.10227353702807918,0.10909406,128.00632870088373,348.642
0,5,1,0.00125,0.01375,0.0039,6.347849218703091e-09,0.3906368749971135,0.404458,0.404458,0.20716675287900557,0.006833136424300659,0.013420429699184874,0.268973679262401,0.18884969587362094,0.137834,0.00146287,-0.00125959,0.080926972947954,0.05574806,129.45309301608134,348.921
0,5,2,0.00125,0.01375,0.0065,6.99199708617441e-09,0.43027674376457936,0.462235,0.462235,0.2254879164009442,0.023431743816051877,0.03212815942163144,0.2916635387499174,0.19755411232825293,0.200183,0.00353475,-0.00090102,0.09702220642725796,0.09253159,124.59527713228225,348.801
