particle_id,initial_z_m,retained_at_final_time,outlet_interval_start_s,outlet_interval_end_s,outlet_time_midpoint_s
2001,0.0193165,True,nan,nan,nan
2002,0.0242814,True,nan,nan,nan
2003,0.0241789,True,nan,nan,nan
2004,0.0199661,True,nan,nan,nan
2005,0.0246309,True,nan,nan,nan
2006,0.0165434,True,nan,nan,nan
2007,0.0178075,True,nan,nan,nan
2008,0.0163981,True,nan,nan,nan
2009,0.0233527,True,nan,nan,nan
2010,0.0167137,True,nan,nan,nan
2011,0.028949,True,nan,nan,nan
2012,0.015994,True,nan,nan,nan
2013,0.0280842,True,nan,nan,nan
2014,0.0186319,True,nan,nan,nan
2015,0.0232127,True,nan,nan,nan
2016,0.0151404,True,nan,nan,nan
2017,0.0240889,True,nan,nan,nan
2018,0.0291904,True,nan,nan,nan
2019,0.0271585,True,nan,nan,nan
2020,0.0293009,True,nan,nan,nan
2021,0.017903,True,nan,nan,nan
2022,0.0171991,True,nan,nan,nan
2023,0.0171996,True,nan,nan,nan
2024,0.0253333,True,nan,nan,nan
2025,0.0181957,True,nan,nan,nan
2026,0.0269943,True,nan,nan,nan
2027,0.0272757,True,nan,nan,nan
2028,0.0282564,True,nan,nan,nan
2029,0.0225927,True,nan,nan,nan
2030,0.0262653,True,nan,nan,nan
2031,0.0254134,True,nan,nan,nan
2032,0.0185843,True,nan,nan,nan
2033,0.0227432,True,nan,nan,nan
2034,0.0264778,True,nan,nan,nan
2035,0.0241314,True,nan,nan,nan
2036,0.0274464,True,nan,nan,nan
2037,0.0237221,True,nan,nan,nan
2038,0.0180471,True,nan,nan,nan
2039,0.0233229,True,nan,nan,nan
2040,0.0163534,True,nan,nan,nan
2041,0.0177749,True,nan,nan,nan
2042,0.0232273,True,nan,nan,nan
2043,0.0240374,True,nan,nan,nan
2044,0.0165322,True,nan,nan,nan
2045,0.028378,True,nan,nan,nan
2046,0.0267475,True,nan,nan,nan
2047,0.0213888,True,nan,nan,nan
2048,0.0294294,True,nan,nan,nan
2049,0.02376,True,nan,nan,nan
2050,0.0200047,True,nan,nan,nan
2051,0.0152156,True,nan,nan,nan
2052,0.0280142,True,nan,nan,nan
2053,0.0269631,True,nan,nan,nan
2054,0.0286894,True,nan,nan,nan
2055,0.0277714,True,nan,nan,nan
2056,0.0267847,True,nan,nan,nan
2057,0.0184192,True,nan,nan,nan
2058,0.0222962,True,nan,nan,nan
2059,0.0239531,True,nan,nan,nan
2060,0.0269399,True,nan,nan,nan
2061,0.0276348,True,nan,nan,nan
2062,0.0189749,True,nan,nan,nan
2063,0.0258589,True,nan,nan,nan
2064,0.0251545,True,nan,nan,nan
2065,0.024931,True,nan,nan,nan
2066,0.0283809,True,nan,nan,nan
2067,0.0182605,True,nan,nan,nan
2068,0.016412,True,nan,nan,nan
2069,0.0215064,True,nan,nan,nan
2070,0.0202531,True,nan,nan,nan
2071,0.0222261,True,nan,nan,nan
2072,0.0296275,True,nan,nan,nan
2073,0.0237371,True,nan,nan,nan
2074,0.0243943,True,nan,nan,nan
2075,0.0244307,True,nan,nan,nan
2076,0.0285792,True,nan,nan,nan
2077,0.019973,False,0.09999999999999999,0.19999999999999998,0.15
2078,0.0161508,True,nan,nan,nan
2079,0.0219408,True,nan,nan,nan
2080,0.0238421,True,nan,nan,nan
2081,0.0151872,True,nan,nan,nan
2082,0.0291021,True,nan,nan,nan
2083,0.021144,True,nan,nan,nan
2084,0.0193786,True,nan,nan,nan
2085,0.0281435,True,nan,nan,nan
2086,0.0180083,True,nan,nan,nan
2087,0.0166934,True,nan,nan,nan
2088,0.0216511,True,nan,nan,nan
2089,0.0186375,True,nan,nan,nan
2090,0.0165935,True,nan,nan,nan
2091,0.0200891,True,nan,nan,nan
2092,0.0280471,True,nan,nan,nan
2093,0.0260863,True,nan,nan,nan
2094,0.0282045,True,nan,nan,nan
2095,0.0231994,True,nan,nan,nan
2096,0.0251086,True,nan,nan,nan
2097,0.026178,True,nan,nan,nan
2098,0.023257,True,nan,nan,nan
2099,0.0275542,True,nan,nan,nan
2100,0.0287789,False,0.19999999999999998,0.3,0.25
2101,0.0199593,True,nan,nan,nan
2102,0.0296698,True,nan,nan,nan
2103,0.0265196,True,nan,nan,nan
2104,0.0269377,True,nan,nan,nan
2105,0.0245196,True,nan,nan,nan
2106,0.0182684,True,nan,nan,nan
2107,0.0249297,True,nan,nan,nan
2108,0.0195573,True,nan,nan,nan
2109,0.028998,True,nan,nan,nan
2110,0.022205,True,nan,nan,nan
2111,0.0252366,True,nan,nan,nan
2112,0.0269344,True,nan,nan,nan
2113,0.0237096,True,nan,nan,nan
2114,0.018155,True,nan,nan,nan
2115,0.0273413,True,nan,nan,nan
2116,0.0159408,True,nan,nan,nan
2117,0.01826,True,nan,nan,nan
2118,0.0177321,True,nan,nan,nan
2119,0.0168211,False,0.09999999999999999,0.19999999999999998,0.15
2120,0.0233309,True,nan,nan,nan
2121,0.0253832,True,nan,nan,nan
2122,0.0274304,True,nan,nan,nan
2123,0.0232699,True,nan,nan,nan
2124,0.022637,True,nan,nan,nan
2125,0.0183054,True,nan,nan,nan
2126,0.0275039,True,nan,nan,nan
2127,0.0227814,True,nan,nan,nan
2128,0.0255746,True,nan,nan,nan
2129,0.0175592,True,nan,nan,nan
2130,0.0210748,True,nan,nan,nan
2131,0.0267943,True,nan,nan,nan
2132,0.0209252,True,nan,nan,nan
2133,0.0285454,True,nan,nan,nan
2134,0.0202247,True,nan,nan,nan
2135,0.028269,True,nan,nan,nan
2136,0.0227286,True,nan,nan,nan
2137,0.0163386,True,nan,nan,nan
2138,0.0195591,True,nan,nan,nan
2139,0.0240288,True,nan,nan,nan
2140,0.026886,True,nan,nan,nan
2141,0.025055,False,0.09999999999999999,0.19999999999999998,0.15
2142,0.0219458,True,nan,nan,nan
2143,0.0195078,True,nan,nan,nan
2144,0.0188054,True,nan,nan,nan
2145,0.017451,True,nan,nan,nan
2146,0.0298456,True,nan,nan,nan
2147,0.0265638,True,nan,nan,nan
2148,0.0156628,True,nan,nan,nan
2149,0.0222149,False,0.09999999999999999,0.19999999999999998,0.15
2150,0.0236006,True,nan,nan,nan
2151,0.0207496,True,nan,nan,nan
2152,0.0262972,True,nan,nan,nan
2153,0.0268041,True,nan,nan,nan
2154,0.0194146,True,nan,nan,nan
2155,0.0277762,True,nan,nan,nan
2156,0.016432,True,nan,nan,nan
2157,0.0219636,True,nan,nan,nan
2158,0.0189853,True,nan,nan,nan
2159,0.0237556,True,nan,nan,nan
