z_min,z_max,z_center,debris_count
0.0,0.0014,0.0007,168
0.0014,0.0028,0.0021,600
0.0028,0.0042,0.0034999999999999996,839
0.0042,0.0056,0.0049,767
0.0056,0.007,0.0063,740
0.007,0.0084,0.0077,666
0.0084,0.0098,0.0091,824
0.0098,0.0112,0.010499999999999999,738
0.0112,0.0126,0.0119,579
0.0126,0.014,0.0133,33
0.014,0.0154,0.014700000000000001,3
0.0154,0.0168,0.0161,0
0.0168,0.0182,0.0175,1
0.0182,0.0196,0.0189,0
0.0196,0.021,0.0203,0
0.021,0.0224,0.0217,0
0.0224,0.023799999999999998,0.0231,0
0.023799999999999998,0.0252,0.0245,0
0.0252,0.0266,0.0259,0
0.0266,0.028,0.027299999999999998,0
