step,time_s,debris_count,btc_approx_x_ge_L,retained_in_source_slab_count,downstream_of_source_count,upstream_of_source_count,x_mean_over_L,x_q50_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q90_m,dx_q99_m,dx_min_m,dx_max_m,vx_mean_m_s,vx_q95_m_s,vx_max_m_s
0,0.0,15000,0,15000,0,0,0.3327864712592593,0.3328388888888889,0.3858455555555556,0.39856906666666664,0.3999977777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,1e-05,15000,0,14992,2,6,0.3327864074074074,0.33284111111111114,0.3858455555555556,0.39862895555555555,0.4071933333333333,-2.873333333332113e-09,0.0,9.999999999940612e-08,-0.0014720999999999988,0.0013366999999999997,0.006071572503333321,0.000295208,67.6846
2000,2e-05,15000,0,14990,4,6,0.3327920982222222,0.33284111111111114,0.38583844444444443,0.39862895555555555,0.4041044444444445,2.5321333333333335e-07,0.0,1.0000000000287557e-07,-0.0019015000000000004,0.0012294000000000003,0.03462063087693333,0.000590373,56.458
3000,3e-05,15000,0,14990,4,6,0.3327984367407407,0.33285888888888887,0.38581577777777787,0.3986266888888889,0.4081688888888889,5.38446666666665e-07,9.999999999940612e-08,1.0000000000287557e-07,-0.001662499999999999,0.0013984999999999987,0.018346995607733337,0.000885494,34.3898
4000,4e-05,15000,0,14989,4,7,0.33280124533333333,0.33285888888888887,0.38581577777777787,0.39862895555555555,0.40795333333333333,6.648333333333378e-07,9.999999999940612e-08,1.001000000001016e-06,-0.0013329999999999991,0.0015538999999999987,0.005973663578666674,0.00118057,32.9477
5000,5e-05,15000,0,14985,3,12,0.3328021623703704,0.33284111111111114,0.38581577777777787,0.39864482222222225,0.40794444444444444,7.061000000000041e-07,1.0000000000114084e-07,9.802000000000812e-06,-0.0011663999999999997,0.0016829999999999987,0.0005228530113333292,0.00147561,16.3247
6000,6e-05,15000,0,14981,6,13,0.33280259348148145,0.33284222222222226,0.3857995555555555,0.3986378444444444,0.4079377777777778,7.255000000000001e-07,1.0000000000114084e-07,1.5009000000001336e-05,-0.0012823,0.0017368999999999996,0.006117186403333346,0.0017706,16.8768
7000,7.000000000000001e-05,15000,0,14982,6,12,0.33280417496296294,0.33284222222222226,0.3858406666666667,0.3986378444444444,0.4079288888888889,7.966666666666628e-07,1.0000000000114084e-07,2.5942999999999802e-05,-0.0014663000000000002,0.0018046999999999994,0.007240332424000006,0.00206554,10.5963
8000,8e-05,15000,0,14979,8,13,0.3328062266666667,0.33284111111111114,0.3858406666666667,0.39864444444444447,0.40792,8.889933333333218e-07,1.0000000000114084e-07,3.472799999999924e-05,-0.0016436999999999997,0.0018779999999999995,0.010478432051333333,0.00236045,9.99686
9000,9e-05,15000,0,14980,8,12,0.33280830933333333,0.33284222222222226,0.3858406666666667,0.3986378444444444,0.40791333333333335,9.827133333333309e-07,2.0000000000054696e-07,4.2417000000001807e-05,-0.0017161,0.0019687999999999997,0.008032084998666667,0.00265531,9.99568
10000,0.0001,15000,0,14980,8,12,0.3328102065185185,0.33284222222222226,0.3858406666666667,0.3986312000000001,0.40790444444444446,1.06808666666667e-06,2.0000000000054696e-07,5.2107000000001234e-05,-0.001788399999999999,0.002059499999999999,0.010627089205999998,0.00295012,9.87472
20000,0.0002,15000,0,14975,11,14,0.3328317441481482,0.33285333333333333,0.38577977777777783,0.3986934666666667,0.41814222222222225,2.03728e-06,5.999999999999062e-07,0.00010383000000000176,-0.0015794,0.002276199999999999,0.008372713814533337,0.0058959,9.86311
30000,0.00030000000000000003,15000,0,14967,16,17,0.3328506491851852,0.3328744444444444,0.38579155555555555,0.39873111111111115,0.4302577777777778,2.888006666666662e-06,1.4000000000003593e-06,0.00014890800000000057,-0.0016231000000000006,0.0030197999999999996,0.011021696893066667,0.00883732,7.34374
