case_label,debris_total_number,state,x_index,x_over_crop_L,mean_pressure
N=3000,3000,baseline,0,0.015151515151515152,1.0
N=3000,3000,baseline,1,0.045454545454545456,0.9771207707772278
N=3000,3000,baseline,2,0.07575757575757576,0.9529160614411032
N=3000,3000,baseline,3,0.10606060606060606,0.9244986549122645
N=3000,3000,baseline,4,0.13636363636363635,0.8931489329266049
N=3000,3000,baseline,5,0.16666666666666666,0.8623795222941607
N=3000,3000,baseline,6,0.19696969696969696,0.8286814772481035
N=3000,3000,baseline,7,0.22727272727272727,0.798015509743738
N=3000,3000,baseline,8,0.25757575757575757,0.7675226051963936
N=3000,3000,baseline,9,0.2878787878787879,0.7381701466796573
N=3000,3000,baseline,10,0.3181818181818182,0.7087391318888683
N=3000,3000,baseline,11,0.3484848484848485,0.6767859259883644
N=3000,3000,baseline,12,0.3787878787878788,0.647892871163861
N=3000,3000,baseline,13,0.4090909090909091,0.6184348496157863
N=3000,3000,baseline,14,0.4393939393939394,0.5883769564577833
N=3000,3000,baseline,15,0.4696969696969697,0.5563125903016153
N=3000,3000,baseline,16,0.5,0.5172226964720492
N=3000,3000,baseline,17,0.5303030303030303,0.48544767434301467
N=3000,3000,baseline,18,0.5606060606060606,0.4491835178245589
N=3000,3000,baseline,19,0.5909090909090909,0.41825206238509444
N=3000,3000,baseline,20,0.6212121212121212,0.3812530266759558
N=3000,3000,baseline,21,0.6515151515151515,0.3468140033525634
N=3000,3000,baseline,22,0.6818181818181818,0.3140950769352274
N=3000,3000,baseline,23,0.7121212121212122,0.2849330467493288
N=3000,3000,baseline,24,0.7424242424242424,0.25295202500982383
N=3000,3000,baseline,25,0.7727272727272727,0.21719890259199184
N=3000,3000,baseline,26,0.803030303030303,0.17860879066265228
N=3000,3000,baseline,27,0.8333333333333334,0.15297211021160942
N=3000,3000,baseline,28,0.8636363636363636,0.12000902340501937
N=3000,3000,baseline,29,0.8939393939393939,0.08592189083080097
N=3000,3000,baseline,30,0.9242424242424242,0.05532283037007211
N=3000,3000,baseline,31,0.9545454545454546,0.024955083579582874
N=3000,3000,baseline,32,0.9848484848484849,0.0
N=3000,3000,loaded,0,0.015151515151515152,1.0
N=3000,3000,loaded,1,0.045454545454545456,0.9771209577014703
N=3000,3000,loaded,2,0.07575757575757576,0.9529164210737268
N=3000,3000,loaded,3,0.10606060606060606,0.9244991849881297
N=3000,3000,loaded,4,0.13636363636363635,0.8931496201645788
N=3000,3000,loaded,5,0.16666666666666666,0.8623803318942969
N=3000,3000,loaded,6,0.19696969696969696,0.8286823877827867
N=3000,3000,loaded,7,0.22727272727272727,0.798016470728721
N=3000,3000,loaded,8,0.25757575757575757,0.767523575979931
N=3000,3000,loaded,9,0.2878787878787879,0.7381710911528923
N=3000,3000,loaded,10,0.3181818181818182,0.708740003870933
N=3000,3000,loaded,11,0.3484848484848485,0.6767866841752344
N=3000,3000,loaded,12,0.3787878787878788,0.6478934942024238
N=3000,3000,loaded,13,0.4090909090909091,0.618435289496772
N=3000,3000,loaded,14,0.4393939393939394,0.588377170939307
N=3000,3000,loaded,15,0.4696969696969697,0.5563125404367488
N=3000,3000,loaded,16,0.5,0.5172222874554318
N=3000,3000,loaded,17,0.5303030303030303,0.4854469616168913
N=3000,3000,loaded,18,0.5606060606060606,0.44918251614926596
N=3000,3000,loaded,19,0.5909090909090909,0.41825085394689576
N=3000,3000,loaded,20,0.6212121212121212,0.3812516290635371
N=3000,3000,loaded,21,0.6515151515151515,0.3468124861523063
N=3000,3000,loaded,22,0.6818181818181818,0.3140935029488023
N=3000,3000,loaded,23,0.7121212121212122,0.28493146702306754
N=3000,3000,loaded,24,0.7424242424242424,0.2529504782535548
N=3000,3000,loaded,25,0.7727272727272727,0.21719744893322518
N=3000,3000,loaded,26,0.803030303030303,0.17860749490474642
N=3000,3000,loaded,27,0.8333333333333334,0.1529709418187598
N=3000,3000,loaded,28,0.8636363636363636,0.12000804946885849
N=3000,3000,loaded,29,0.8939393939393939,0.08592114888131024
N=3000,3000,loaded,30,0.9242424242424242,0.05532232569083279
N=3000,3000,loaded,31,0.9545454545454546,0.024954845237040967
N=3000,3000,loaded,32,0.9848484848484849,0.0
N=6000,6000,baseline,0,0.015151515151515152,1.0
N=6000,6000,baseline,1,0.045454545454545456,0.9771207707772278
N=6000,6000,baseline,2,0.07575757575757576,0.9529160614411032
N=6000,6000,baseline,3,0.10606060606060606,0.9244986549122645
N=6000,6000,baseline,4,0.13636363636363635,0.8931489329266049
N=6000,6000,baseline,5,0.16666666666666666,0.8623795222941607
N=6000,6000,baseline,6,0.19696969696969696,0.8286814772481035
N=6000,6000,baseline,7,0.22727272727272727,0.798015509743738
N=6000,6000,baseline,8,0.25757575757575757,0.7675226051963936
N=6000,6000,baseline,9,0.2878787878787879,0.7381701466796573
N=6000,6000,baseline,10,0.3181818181818182,0.7087391318888683
N=6000,6000,baseline,11,0.3484848484848485,0.6767859259883644
N=6000,6000,baseline,12,0.3787878787878788,0.647892871163861
N=6000,6000,baseline,13,0.4090909090909091,0.6184348496157863
N=6000,6000,baseline,14,0.4393939393939394,0.5883769564577833
N=6000,6000,baseline,15,0.4696969696969697,0.5563125903016153
N=6000,6000,baseline,16,0.5,0.5172226964720492
N=6000,6000,baseline,17,0.5303030303030303,0.48544767434301467
N=6000,6000,baseline,18,0.5606060606060606,0.4491835178245589
N=6000,6000,baseline,19,0.5909090909090909,0.41825206238509444
N=6000,6000,baseline,20,0.6212121212121212,0.3812530266759558
N=6000,6000,baseline,21,0.6515151515151515,0.3468140033525634
N=6000,6000,baseline,22,0.6818181818181818,0.3140950769352274
N=6000,6000,baseline,23,0.7121212121212122,0.2849330467493288
N=6000,6000,baseline,24,0.7424242424242424,0.25295202500982383
N=6000,6000,baseline,25,0.7727272727272727,0.21719890259199184
N=6000,6000,baseline,26,0.803030303030303,0.17860879066265228
N=6000,6000,baseline,27,0.8333333333333334,0.15297211021160942
N=6000,6000,baseline,28,0.8636363636363636,0.12000902340501937
N=6000,6000,baseline,29,0.8939393939393939,0.08592189083080097
N=6000,6000,baseline,30,0.9242424242424242,0.05532283037007211
N=6000,6000,baseline,31,0.9545454545454546,0.024955083579582874
N=6000,6000,baseline,32,0.9848484848484849,0.0
N=6000,6000,loaded,0,0.015151515151515152,1.0
N=6000,6000,loaded,1,0.045454545454545456,0.9771211342919379
N=6000,6000,loaded,2,0.07575757575757576,0.9529167547282303
N=6000,6000,loaded,3,0.10606060606060606,0.924499667194033
N=6000,6000,loaded,4,0.13636363636363635,0.893150231742916
N=6000,6000,loaded,5,0.16666666666666666,0.8623810328567775
N=6000,6000,loaded,6,0.19696969696969696,0.8286831482921018
N=6000,6000,loaded,7,0.22727272727272727,0.7980172403050897
N=6000,6000,loaded,8,0.25757575757575757,0.7675243184210433
N=6000,6000,loaded,9,0.2878787878787879,0.7381717777492728
N=6000,6000,loaded,10,0.3181818181818182,0.7087405973433367
N=6000,6000,loaded,11,0.3484848484848485,0.6767871520594873
N=6000,6000,loaded,12,0.3787878787878788,0.6478938266419321
