metric_x,metric_y,spearman_r
final_BTC,final_BTC,1.0
max_blockage_ratio,final_BTC,0.5537701221851627
connectivity_loss,final_BTC,0.0
front_bulk_gap_over_L,final_BTC,-0.7012632191527141
source_fraction,final_BTC,0.0
profile_pressure_increase_ratio,final_BTC,-0.5
voxel_conductance_loss,final_BTC,-0.5
final_BTC,max_blockage_ratio,0.5537701221851627
max_blockage_ratio,max_blockage_ratio,1.0
connectivity_loss,max_blockage_ratio,0.0
front_bulk_gap_over_L,max_blockage_ratio,-0.8192692146271613
source_fraction,max_blockage_ratio,0.0
profile_pressure_increase_ratio,max_blockage_ratio,1.0
voxel_conductance_loss,max_blockage_ratio,1.0
final_BTC,connectivity_loss,0.0
max_blockage_ratio,connectivity_loss,0.0
connectivity_loss,connectivity_loss,0.0
front_bulk_gap_over_L,connectivity_loss,0.0
source_fraction,connectivity_loss,0.0
profile_pressure_increase_ratio,connectivity_loss,0.0
voxel_conductance_loss,connectivity_loss,0.0
final_BTC,front_bulk_gap_over_L,-0.7012632191527141
max_blockage_ratio,front_bulk_gap_over_L,-0.8192692146271613
connectivity_loss,front_bulk_gap_over_L,0.0
front_bulk_gap_over_L,front_bulk_gap_over_L,1.0
source_fraction,front_bulk_gap_over_L,-0.5
profile_pressure_increase_ratio,front_bulk_gap_over_L,0.0
voxel_conductance_loss,front_bulk_gap_over_L,0.0
final_BTC,source_fraction,0.0
max_blockage_ratio,source_fraction,0.0
connectivity_loss,source_fraction,0.0
front_bulk_gap_over_L,source_fraction,-0.5
source_fraction,source_fraction,1.0
profile_pressure_increase_ratio,source_fraction,0.0
voxel_conductance_loss,source_fraction,0.0
final_BTC,profile_pressure_increase_ratio,-0.5
max_blockage_ratio,profile_pressure_increase_ratio,1.0
connectivity_loss,profile_pressure_increase_ratio,0.0
front_bulk_gap_over_L,profile_pressure_increase_ratio,0.0
source_fraction,profile_pressure_increase_ratio,0.0
profile_pressure_increase_ratio,profile_pressure_increase_ratio,1.0
voxel_conductance_loss,profile_pressure_increase_ratio,1.0
final_BTC,voxel_conductance_loss,-0.5
max_blockage_ratio,voxel_conductance_loss,1.0
connectivity_loss,voxel_conductance_loss,0.0
front_bulk_gap_over_L,voxel_conductance_loss,0.0
source_fraction,voxel_conductance_loss,0.0
profile_pressure_increase_ratio,voxel_conductance_loss,1.0
voxel_conductance_loss,voxel_conductance_loss,1.0
