box_size_voxels,box_count,log_inverse_box_size,log_count
2,63713,-0.6931471805599453,11.062143902371083
3,21569,-1.0986122886681098,9.979012377622373
4,9450,-1.3862943611198906,9.153770020487789
5,4752,-1.6094379124341003,8.466320861042481
6,2700,-1.791759469228055,7.90100705199242
8,1288,-2.0794415416798357,7.160845906664299
10,648,-2.3025850929940455,6.473890696352274
12,375,-2.4849066497880004,5.926926025970411
15,192,-2.70805020110221,5.2574953720277815
20,81,-2.995732273553991,4.394449154672439
