job_id,case_name,step,time_s,dump_file,debris_count,expected_debris_atoms,debris_count_ok,outlet_count_x_ge_L,source_count,downstream_count,upstream_count,source_fraction,downstream_fraction,outlet_fraction,x_mean_over_L,x_q90_over_L,x_q99_over_L,x_max_over_L,dx_mean_m,dx_q99_m,dx_max_m,max_abs_velocity_m_s,time_ms,released_fraction,front_bulk_gap_over_L,job_label
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,0,0.0,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_0.dump,15000,15000,True,0,15000,0,0,1.0,0.0,0.0,0.3327864712592593,0.3858455555555556,0.3985690666666666,0.3999977777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0014287111111112027,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,1000,1e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_1000.dump,15000,15000,True,0,14992,2,6,0.9994666666666666,0.0001333333333333,0.0,0.3327864074074074,0.3858455555555556,0.3986289555555555,0.4071933333333333,-2.8733333333321132e-09,9.999999999940613e-08,0.0013366999999999,117.655,0.01,0.0005333333333333856,0.008564377777777799,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,2000,2e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_2000.dump,15000,15000,True,0,14990,4,6,0.9993333333333332,0.0002666666666666,0.0,0.3327920982222222,0.3858384444444444,0.3986289555555555,0.4041044444444445,2.532133333333334e-07,1.0000000000287557e-07,0.0012294,56.458,0.02,0.0006666666666668153,0.005475488888888991,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,3000,3e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_3000.dump,15000,15000,True,0,14990,4,6,0.9993333333333332,0.0002666666666666,0.0,0.3327984367407407,0.3858157777777778,0.3986266888888889,0.4081688888888889,5.38446666666665e-07,1.0000000000287557e-07,0.0013984999999999,36.001,0.030000000000000002,0.0006666666666668153,0.0095422,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,4000,4e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_4000.dump,15000,15000,True,0,14989,4,7,0.9992666666666666,0.0002666666666666,0.0,0.3328012453333333,0.3858157777777778,0.3986289555555555,0.4079533333333333,6.648333333333378e-07,1.001000000001016e-06,0.0015538999999999,36.001,0.04,0.0007333333333333636,0.009324377777777781,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,5000,5e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_5000.dump,15000,15000,True,0,14985,3,12,0.999,0.0002,0.0,0.3328021623703704,0.3858157777777778,0.3986448222222222,0.4079444444444444,7.061000000000041e-07,9.802000000000812e-06,0.0016829999999999,36.0009,0.05,0.0010000000000000009,0.009299622222222192,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,6000,6e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_6000.dump,15000,15000,True,0,14981,6,13,0.9987333333333334,0.0004,0.0,0.3328025934814814,0.3857995555555555,0.3986378444444444,0.4079377777777778,7.255000000000001e-07,1.5009000000001336e-05,0.0017368999999999,36.0008,0.060000000000000005,0.0012666666666666382,0.009299933333333399,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,7000,7.000000000000001e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_7000.dump,15000,15000,True,0,14982,6,12,0.9988,0.0004,0.0,0.3328041749629629,0.3858406666666667,0.3986378444444444,0.4079288888888889,7.966666666666628e-07,2.59429999999998e-05,0.0018046999999999,36.0007,0.07,0.0011999999999999789,0.009291044444444507,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,8000,8e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_8000.dump,15000,15000,True,0,14979,8,13,0.9986,0.0005333333333333,0.0,0.3328062266666667,0.3858406666666667,0.3986444444444444,0.40792,8.889933333333218e-07,3.472799999999924e-05,0.0018779999999999,36.0006,0.08,0.0013999999999999568,0.009275555555555592,"906 upstream, 15k"
906_upstream_source_continue_1M_to_4M,paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit,9000,9e-05,cases/clogging_scan/paper2_localized_release/paper2_local_damage_slab_x012_018_df0p1_n15000_seed906_explicit/explicit_10k_type2_9000.dump,15000,15000,True,0,14980,8,12,0.9986666666666668,0.0005333333333333,0.0,0.3328083093333333,0.3858406666666667,0.3986378444444444,0.4079133333333333,9.827133333333309e-07,4.2417000000001807e-05,0.0019687999999999,36.0005,0.09000000000000001,0.0013333333333331865,0.009275488888888905,"906 upstream, 15k"
