analysis_type,factor,rule,effective_voxel_size_m,shape_x,shape_y,shape_z,porosity,connected_void_components,largest_connected_void_fraction,outlet_connected_fraction_x,euler_number,topological_charge,fractal_dimension,fractal_fit_r2,pore_voxel_count,total_voxel_count
native,1,native_existing_voxel,0.00025,180,60,53,0.4113976240391335,1418,0.9920801413259499,0.9920801413259499,-18225,-0.031839622641509434,2.6942779927429235,0.99614087412792,235484,572400
coarsened,2,majority,0.0005,90,30,26,0.44756410256410256,949,0.940545529774977,0.940545529774977,-1528,-0.021766381766381765,2.62137587473246,0.9936783010251474,31419,70200
coarsened,2,conservative_void,0.0005,90,30,26,0.02245014245014245,1124,0.008883248730964468,0.0,1124,0.01601139601139601,1.4778082210915107,0.865477174497991,1576,70200
coarsened,3,majority,0.00075,60,20,17,0.20416666666666666,1991,0.012244897959183673,0.0,1988,0.09745098039215687,2.0978938898068704,0.9828652014213893,4165,20400
coarsened,3,conservative_void,0.00075,60,20,17,0.0004411764705882353,8,0.2222222222222222,0.0,8,0.000392156862745098,0.1888638891052296,0.8342855946548224,9,20400
coarsened,4,majority,0.001,45,15,13,0.11783475783475783,560,0.02611218568665377,0.0,560,0.06381766381766382,1.8146996250733065,0.920422922412167,1034,8775
coarsened,4,conservative_void,0.001,45,15,13,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,8775
coarsened,5,majority,0.00125,36,12,10,0.05555555555555555,165,0.03333333333333333,0.0,165,0.03819444444444445,1.220387233336564,0.9521750744059646,240,4320
coarsened,5,conservative_void,0.00125,36,12,10,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,4320
revoxelized,1,revoxelized_from_dem,0.0002,225,75,67,0.41833322277501384,1492,0.9962788966928694,0.9962788966928694,-27025,-0.023902708678828082,2.5545861464816846,0.9979436690500337,472978,1130625
revoxelized,1,revoxelized_from_dem,0.00025,180,60,53,0.4113976240391335,1418,0.9920801413259499,0.9920801413259499,-18225,-0.031839622641509434,2.6942779927429235,0.99614087412792,235484,572400
revoxelized,1,revoxelized_from_dem,0.0003,150,50,45,0.42301925925925926,1644,0.9836519132304632,0.9836519132304632,-10824,-0.03207111111111111,2.6289644815793416,0.9967794803376367,142769,337500
revoxelized,1,revoxelized_from_dem,0.0004,113,38,34,0.4444573823940382,1558,0.9528271355699733,0.9528271355699733,-2373,-0.016253869969040248,2.473829824186891,0.9971173361995951,64889,145996
revoxelized,1,revoxelized_from_dem,0.0005,90,30,27,0.4099725651577503,1989,0.7426974938936661,0.7426974938936661,1295,0.01776406035665295,2.6153718903315566,0.9917476205833381,29887,72900
